SAMPLE ID;IGSN;EXPEDITION ID;REFERENCES;LATITUDE;LONGITUDE;LOC PREC;MIN ELEVATION;MAX ELEVATION;TECTONIC SETTING;MIN AGE;AGE;MAX AGE;METHOD;ANALYZED MATERIAL;ROCK TYPE;ROCK NAME;MINERAL;SIO2;SIO2 Units;SIO2 Method;TIO2;TIO2 Units;TIO2 Method;AL2O3;AL2O3 Units;AL2O3 Method;CR2O3;CR2O3 Units;CR2O3 Method;FE2O3;FE2O3 Units;FE2O3 Method;FE2O3T;FE2O3T Units;FE2O3T Method;FEO;FEO Units;FEO Method;FEOT;FEOT Units;FEOT Method;NIO;NIO Units;NIO Method;MNO;MNO Units;MNO Method;MGO;MGO Units;MGO Method;CAO;CAO Units;CAO Method;SRO;SRO Units;SRO Method;NA2O;NA2O Units;NA2O Method;K2O;K2O Units;K2O Method;P2O5;P2O5 Units;P2O5 Method;BAO;BAO Units;BAO Method;LOI;LOI Units;LOI Method;H2O;H2O Units;H2O Method;H2O_M;H2O_M Units;H2O_M Method;H2O_P;H2O_P Units;H2O_P Method;SO3;SO3 Units;SO3 Method;COO;COO Units;COO Method;MN;MN Units;MN Method;NI;NI Units;NI Method;CO;CO Units;CO Method;CU;CU Units;CU Method;CD;CD Units;CD Method;ZN;ZN Units;ZN Method;AS;AS Units;AS Method;AG;AG Units;AG Method;S;S Units;S Method;ZRO2;ZRO2 Units;ZRO2 Method;AL;AL Units;AL Method;CA;CA Units;CA Method;SR87_SR86;SR87_SR86 Units;SR87_SR86 Method;SR87_SR86_INI;SR87_SR86_INI Units;SR87_SR86_INI Method;RB87_SR86;RB87_SR86 Units;RB87_SR86 Method;ND143_ND144;ND143_ND144 Units;ND143_ND144 Method;ND143_ND144_INI;ND143_ND144_INI Units;ND143_ND144_INI Method;SM147_ND144;SM147_ND144 Units;SM147_ND144 Method;E_ND;E_ND Units;E_ND Method;E_ND_INI;E_ND_INI Units;E_ND_INI Method;PB204_PB206;PB204_PB206 Units;PB204_PB206 Method;PB206_PB204;PB206_PB204 Units;PB206_PB204 Method;PB206_PB204_INI;PB206_PB204_INI Units;PB206_PB204_INI Method;PB207_PB204;PB207_PB204 Units;PB207_PB204 Method;PB207_PB204_INI;PB207_PB204_INI Units;PB207_PB204_INI Method;PB207_PB206;PB207_PB206 Units;PB207_PB206 Method;PB208_PB204;PB208_PB204 Units;PB208_PB204 Method;PB208_PB204_INI;PB208_PB204_INI Units;PB208_PB204_INI Method;PB208_PB206;PB208_PB206 Units;PB208_PB206 Method;HF176_HF177;HF176_HF177 Units;HF176_HF177 Method;RE187_OS188;RE187_OS188 Units;RE187_OS188 Method;OS187_OS188;OS187_OS188 Units;OS187_OS188 Method;OS187_OS188_INI;OS187_OS188_INI Units;OS187_OS188_INI Method;G_OS;G_OS Units;G_OS Method;G_OS_INI;G_OS_INI Units;G_OS_INI Method;ND143_ND144_INI;ND143_ND144_INI Units;ND143_ND144_INI Method;PB206_PB204_INI;PB206_PB204_INI Units;PB206_PB204_INI Method;PB207_PB204_INI;PB207_PB204_INI Units;PB207_PB204_INI Method;PB208_PB204_INI;PB208_PB204_INI Units;PB208_PB204_INI Method;SR87_SR86_INI;SR87_SR86_INI Units;SR87_SR86_INI Method;HE;HE Units;HE Method;HE3;HE3 Units;HE3 Method;HE3_HE4_R_RA;HE3_HE4_R_RA Units;HE3_HE4_R_RA Method;AR36;AR36 Units;AR36 Method;AR40;AR40 Units;AR40 Method;AR40_AR36;AR40_AR36 Units;AR40_AR36 Method;NE20;NE20 Units;NE20 Method;NE20_NE22;NE20_NE22 Units;NE20_NE22 Method;NE21_NE22;NE21_NE22 Units;NE21_NE22 Method;LA;LA Units;LA Method;CE;CE Units;CE Method;PR;PR Units;PR Method;ND;ND Units;ND Method;SM;SM Units;SM Method;EU;EU Units;EU Method;GD;GD Units;GD Method;TB;TB Units;TB Method;DY;DY Units;DY Method;HO;HO Units;HO Method;ER;ER Units;ER Method;TM;TM Units;TM Method;YB;YB Units;YB Method;LU;LU Units;LU Method;CO2;CO2 Units;CO2 Method;F;F Units;F Method;CL;CL Units;CL Method;U238_PB204;U238_PB204 Units;U238_PB204 Method;TH230_TH232;TH230_TH232 Units;TH230_TH232 Method;RA226_ACTIVITY;RA226_ACTIVITY Units;RA226_ACTIVITY Method;PB210_RA226;PB210_RA226 Units;PB210_RA226 Method;PB210_ACTIVITY;PB210_ACTIVITY Units;PB210_ACTIVITY Method;AG;AG Units;AG Method;AL;AL Units;AL Method;AS;AS Units;AS Method;AU;AU Units;AU Method;B;B Units;B Method;BA;BA Units;BA Method;BE;BE Units;BE Method;BI;BI Units;BI Method;CA;CA Units;CA Method;CD;CD Units;CD Method;CO;CO Units;CO Method;CR;CR Units;CR Method;CS;CS Units;CS Method;CU;CU Units;CU Method;GA;GA Units;GA Method;GER;GER Units;GER Method;HF;HF Units;HF Method;INDIUM;INDIUM Units;INDIUM Method;IR;IR Units;IR Method;K;K Units;K Method;LI;LI Units;LI Method;MN;MN Units;MN Method;MO;MO Units;MO Method;NA;NA Units;NA Method;NB;NB Units;NB Method;NI;NI Units;NI Method;OS;OS Units;OS Method;P;P Units;P Method;PB;PB Units;PB Method;PD;PD Units;PD Method;PT;PT Units;PT Method;RB;RB Units;RB Method;RE;RE Units;RE Method;RH;RH Units;RH Method;RU;RU Units;RU Method;S;S Units;S Method;SB;SB Units;SB Method;SC;SC Units;SC Method;SN;SN Units;SN Method;SR;SR Units;SR Method;TA;TA Units;TA Method;TH;TH Units;TH Method;TI;TI Units;TI Method;TL;TL Units;TL Method;U;U Units;U Method;V;V Units;V Method;W;W Units;W Method;Y;Y Units;Y Method;ZN;ZN Units;ZN Method;ZR;ZR Units;ZR Method;DELTA_O18;DELTA_O18 Units;DELTA_O18 Method;DELTA_C13;DELTA_C13 Units;DELTA_C13 Method;DELTA_MO98;DELTA_MO98 Units;DELTA_MO98 Method;DELTA_ZN66;DELTA_ZN66 Units;DELTA_ZN66 Method;DELTA_ZN68;DELTA_ZN68 Units;DELTA_ZN68 Method;OS188;OS188 Units;OS188 Method;FE3P_FET;FE3P_FET Units;FE3P_FET Method;TI;TI Units;TI Method;AS;AS Units;AS Method;AS;AS Units;AS Method;GER;GER Units;GER Method;H2O_M;H2O_M Units;H2O_M Method;H2O_P;H2O_P Units;H2O_P Method;H2O_M;H2O_M Units;H2O_M Method;H2O_P;H2O_P Units;H2O_P Method;INDIUM;INDIUM Units;INDIUM Method
ALMARAB-JO-1;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;GABBRONORITE;;49,8;wt%;XRF;1,15;wt%;XRF;10,85;wt%;XRF;;;;2,2;wt%;XRF;;;;7,4;wt%;XRF;;;;;;;0,21;wt%;XRF;12,72;wt%;XRF;12,65;wt%;XRF;;;;1,4;wt%;XRF;0,31;wt%;XRF;0,18;wt%;XRF;;;;;;;0,65;wt%;XRF;;;;;;;;;;;;;;;;250;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,22;ppm;ICPMS;11,12;ppm;ICPMS;;;;7,2;ppm;ICPMS;1,97;ppm;ICPMS;0,76;ppm;ICPMS;;;;0,44;ppm;ICPMS;;;;;;;;;;;;;1,6;ppm;ICPMS;0,23;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196;ppm;XRF;;;;;;;;;;;;;;;;625;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;ppm;XRF;250;ppm;XRF;;;;;;;;;;;;;;;;3;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;300;ppm;XRF;;;;;;;;;;;;;;;;173;ppm;XRF;;;;36;ppm;XRF;;;;113;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-10;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;NORITE;;49,25;wt%;XRF;1,38;wt%;XRF;18,75;wt%;XRF;;;;2,1;wt%;XRF;;;;7,78;wt%;XRF;;;;;;;0,16;wt%;XRF;6,6;wt%;XRF;10,75;wt%;XRF;;;;1,94;wt%;XRF;0,4;wt%;XRF;0,22;wt%;XRF;;;;;;;0,65;wt%;XRF;;;;;;;;;;;;;;;;121;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,3;ppm;ICPMS;31;ppm;ICPMS;;;;15,2;ppm;ICPMS;3,92;ppm;ICPMS;1,93;ppm;ICPMS;;;;0,49;ppm;ICPMS;;;;;;;;;;;;;1,12;ppm;ICPMS;0,14;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;505;ppm;XRF;;;;;;;;;;;;;;;;80;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;ppm;XRF;121;ppm;XRF;;;;;;;;;;;;;;;;7;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;515;ppm;XRF;;;;;;;;;;;;;;;;136;ppm;XRF;;;;35;ppm;XRF;;;;125;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-2;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;GABBRONORITE;;49,3;wt%;XRF;0,97;wt%;XRF;11,35;wt%;XRF;;;;2,55;wt%;XRF;;;;7,82;wt%;XRF;;;;;;;0,21;wt%;XRF;12,72;wt%;XRF;12,6;wt%;XRF;;;;1,35;wt%;XRF;0,29;wt%;XRF;0,17;wt%;XRF;;;;;;;0,45;wt%;XRF;;;;;;;;;;;;;;;;176;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,1;ppm;ICPMS;15,2;ppm;ICPMS;;;;8,65;ppm;ICPMS;2,74;ppm;ICPMS;0,95;ppm;ICPMS;;;;0,61;ppm;ICPMS;;;;;;;;;;;;;1,98;ppm;ICPMS;0,3;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;ppm;XRF;;;;;;;;;;;;;;;;435;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;ppm;XRF;176;ppm;XRF;;;;;;;;;;;;;;;;5;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;320;ppm;XRF;;;;;;;;;;;;;;;;150;ppm;XRF;;;;28;ppm;XRF;;;;92;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-3;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;GABBRONORITE;;49,6;wt%;XRF;0,75;wt%;XRF;13,5;wt%;XRF;;;;3,3;wt%;XRF;;;;6,95;wt%;XRF;;;;;;;0,1;wt%;XRF;11,62;wt%;XRF;11,75;wt%;XRF;;;;1,1;wt%;XRF;0,25;wt%;XRF;0,27;wt%;XRF;;;;;;;0,85;wt%;XRF;;;;;;;;;;;;;;;;126;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,62;ppm;ICPMS;15,26;ppm;ICPMS;;;;9,35;ppm;ICPMS;2,65;ppm;ICPMS;1,02;ppm;ICPMS;;;;0,59;ppm;ICPMS;;;;;;;;;;;;;1,9;ppm;ICPMS;0,25;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312;ppm;XRF;;;;;;;;;;;;;;;;230;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;ppm;XRF;126;ppm;XRF;;;;;;;;;;;;;;;;6;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;478;ppm;XRF;;;;;;;;;;;;;;;;132;ppm;XRF;;;;26;ppm;XRF;;;;93;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-4;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;GABBRONORITE;;50,1;wt%;XRF;0,78;wt%;XRF;12,45;wt%;XRF;;;;2,15;wt%;XRF;;;;6,45;wt%;XRF;;;;;;;0,2;wt%;XRF;11,98;wt%;XRF;12,1;wt%;XRF;;;;1,35;wt%;XRF;0,12;wt%;XRF;0,35;wt%;XRF;;;;;;;0,95;wt%;XRF;;;;;;;;;;;;;;;;235;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,52;ppm;ICPMS;8,12;ppm;ICPMS;;;;6,12;ppm;ICPMS;2,05;ppm;ICPMS;0,69;ppm;ICPMS;;;;0,46;ppm;ICPMS;;;;;;;;;;;;;1,8;ppm;ICPMS;0,27;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186;ppm;XRF;;;;;;;;;;;;;;;;654;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;ppm;XRF;235;ppm;XRF;;;;;;;;;;;;;;;;4;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;214;ppm;XRF;;;;;;;;;;;;;;;;120;ppm;XRF;;;;30;ppm;XRF;;;;102;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-5;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;GABBRONORITE;;48,3;wt%;XRF;0,85;wt%;XRF;13,85;wt%;XRF;;;;2,95;wt%;XRF;;;;6,15;wt%;XRF;;;;;;;0,14;wt%;XRF;11,95;wt%;XRF;12,3;wt%;XRF;;;;1,75;wt%;XRF;0,2;wt%;XRF;0,25;wt%;XRF;;;;;;;1,1;wt%;XRF;;;;;;;;;;;;;;;;182;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,48;ppm;ICPMS;13,8;ppm;ICPMS;;;;10,82;ppm;ICPMS;3,13;ppm;ICPMS;1,14;ppm;ICPMS;;;;0,74;ppm;ICPMS;;;;;;;;;;;;;2,52;ppm;ICPMS;0,35;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286;ppm;XRF;;;;;;;;;;;;;;;;550;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;ppm;XRF;182;ppm;XRF;;;;;;;;;;;;;;;;4;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;250;ppm;XRF;;;;;;;;;;;;;;;;111;ppm;XRF;;;;24;ppm;XRF;;;;94;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-6;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;NORITE;;50,1;wt%;XRF;1,2;wt%;XRF;18,5;wt%;XRF;;;;1,25;wt%;XRF;;;;7,55;wt%;XRF;;;;;;;0,21;wt%;XRF;6,75;wt%;XRF;11,55;wt%;XRF;;;;2,4;wt%;XRF;0,61;wt%;XRF;0,1;wt%;XRF;;;;;;;0,35;wt%;XRF;;;;;;;;;;;;;;;;81;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,3;ppm;ICPMS;35,6;ppm;ICPMS;;;;19,64;ppm;ICPMS;5,7;ppm;ICPMS;2,46;ppm;ICPMS;;;;0,68;ppm;ICPMS;;;;;;;;;;;;;1,3;ppm;ICPMS;0,15;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;ppm;XRF;;;;;;;;;;;;;;;;95;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;ppm;XRF;81;ppm;XRF;;;;;;;;;;;;;;;;7;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;590;ppm;XRF;;;;;;;;;;;;;;;;130;ppm;XRF;;;;28;ppm;XRF;;;;100;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-7;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;NORITE;;49,5;wt%;XRF;1,05;wt%;XRF;21,3;wt%;XRF;;;;2,2;wt%;XRF;;;;6,2;wt%;XRF;;;;;;;0,15;wt%;XRF;5,6;wt%;XRF;9,85;wt%;XRF;;;;2,5;wt%;XRF;0,5;wt%;XRF;0,2;wt%;XRF;;;;;;;0,6;wt%;XRF;;;;;;;;;;;;;;;;95;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,1;ppm;ICPMS;44,7;ppm;ICPMS;;;;21,95;ppm;ICPMS;6,82;ppm;ICPMS;2,82;ppm;ICPMS;;;;0,81;ppm;ICPMS;;;;;;;;;;;;;1,81;ppm;ICPMS;0,22;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;580;ppm;XRF;;;;;;;;;;;;;;;;53;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;ppm;XRF;95;ppm;XRF;;;;;;;;;;;;;;;;7;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;635;ppm;XRF;;;;;;;;;;;;;;;;106;ppm;XRF;;;;25;ppm;XRF;;;;94;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-8;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;NORITE;;51,3;wt%;XRF;1,12;wt%;XRF;19,85;wt%;XRF;;;;2,52;wt%;XRF;;;;6,12;wt%;XRF;;;;;;;0,12;wt%;XRF;5,35;wt%;XRF;9,65;wt%;XRF;;;;2,72;wt%;XRF;0,55;wt%;XRF;0,21;wt%;XRF;;;;;;;0,65;wt%;XRF;;;;;;;;;;;;;;;;35;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,2;ppm;ICPMS;32,4;ppm;ICPMS;;;;16,35;ppm;ICPMS;4,46;ppm;ICPMS;2,11;ppm;ICPMS;;;;0,55;ppm;ICPMS;;;;;;;;;;;;;1,15;ppm;ICPMS;0,14;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;622;ppm;XRF;;;;;;;;;;;;;;;;68;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;ppm;XRF;35;ppm;XRF;;;;;;;;;;;;;;;;9;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;730;ppm;XRF;;;;;;;;;;;;;;;;121;ppm;XRF;;;;32;ppm;XRF;;;;117;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMARAB-JO-9;;nr;AL-MISHWAT, 2004;32;37;1;;;CONTINENTAL_RIFT;;;;"ICPMS; XRF";WHOLE ROCK;IGNEOUS:PLUTONIC:MAFIC;NORITE;;51,55;wt%;XRF;0,82;wt%;XRF;21,55;wt%;XRF;;;;1,8;wt%;XRF;;;;5,35;wt%;XRF;;;;;;;0,15;wt%;XRF;5,45;wt%;XRF;10,55;wt%;XRF;;;;2,1;wt%;XRF;0,45;wt%;XRF;0,25;wt%;XRF;;;;;;;0,55;wt%;XRF;;;;;;;;;;;;;;;;110;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,1;ppm;ICPMS;26;ppm;ICPMS;;;;13,54;ppm;ICPMS;3,66;ppm;ICPMS;1,81;ppm;ICPMS;;;;0,47;ppm;ICPMS;;;;;;;;;;;;;0,85;ppm;ICPMS;0,13;ppm;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480;ppm;XRF;;;;;;;;;;;;;;;;75;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;ppm;XRF;110;ppm;XRF;;;;;;;;;;;;;;;;8;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;490;ppm;XRF;;;;;;;;;;;;;;;;110;ppm;XRF;;;;24;ppm;XRF;;;;75;ppm;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
